problem,population_size,mutation_rate_per_gene,tournament_size,cross_over_rate,elitism,max_evals,trial_index,seed,best_fitness,best_d,generations,evals_used
BPP1,100,0.01,3,0.8,1,10000,0,42,0.21413276231263384,466.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,1,43,0.23923444976076555,417.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,2,44,0.18832391713747645,530.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,3,45,0.24213075060532688,412.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,4,46,0.22371364653243847,446.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,0,142,0.08673026886383348,1152.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,1,143,0.11961722488038277,835.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,2,144,0.07974481658692185,1253.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,3,145,0.08424599831508003,1186.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,4,146,0.09643201542912247,1036.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,0,242,0.5681818181818182,175.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,1,243,0.3058103975535168,326.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,2,244,0.4444444444444444,224.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,3,245,0.37174721189591076,268.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,4,246,0.546448087431694,182.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,0,342,0.0999000999000999,1000.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,1,343,0.1457725947521866,685.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,2,344,0.11627906976744186,859.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,3,345,0.11587485515643106,862.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,4,346,0.11074197120708748,902.0,99,10000
BPP2,100,0.01,3,0.8,1,10000,0,10042,0.0004883909471854029,204753.0,99,10000
BPP2,100,0.01,3,0.8,1,10000,1,10043,0.00047105152832668367,212290.0,99,10000
BPP2,100,0.01,3,0.8,1,10000,2,10044,0.00053362504835977,187396.5,99,10000
BPP2,100,0.01,3,0.8,1,10000,3,10045,0.000505401478299324,197861.5,99,10000
BPP2,100,0.01,3,0.8,1,10000,4,10046,0.0004168759731448498,239878.5,99,10000
BPP2,100,0.05,3,0.8,1,10000,0,10142,0.0002672506985265133,374179.5,99,10000
BPP2,100,0.05,3,0.8,1,10000,1,10143,0.00029875270744641124,334724.0,99,10000
BPP2,100,0.05,3,0.8,1,10000,2,10144,0.0002910403236368399,343594.0,99,10000
BPP2,100,0.05,3,0.8,1,10000,3,10145,0.00031776547319251026,314696.5,99,10000
BPP2,100,0.05,3,0.8,1,10000,4,10146,0.0003226071822036974,309973.5,99,10000
BPP2,100,0.01,7,0.8,1,10000,0,10242,0.0007997984507904008,125030.5,99,10000
BPP2,100,0.01,7,0.8,1,10000,1,10243,0.0008748561955128625,114303.5,99,10000
BPP2,100,0.01,7,0.8,1,10000,2,10244,0.000757963352471908,131931.5,99,10000
BPP2,100,0.01,7,0.8,1,10000,3,10245,0.0006941600316536974,144058.0,99,10000
BPP2,100,0.01,7,0.8,1,10000,4,10246,0.0007135059542071879,140152.0,99,10000
BPP2,100,0.05,7,0.8,1,10000,0,10342,0.00040891516850371807,244548.5,99,10000
BPP2,100,0.05,7,0.8,1,10000,1,10343,0.0003567205255206782,280330.5,99,10000
BPP2,100,0.05,7,0.8,1,10000,2,10344,0.000350690773150413,285150.5,99,10000
BPP2,100,0.05,7,0.8,1,10000,3,10345,0.0003741212826374054,267292.0,99,10000
BPP2,100,0.05,7,0.8,1,10000,4,10346,0.00036152309680684725,276606.5,99,10000
