problem,population_size,pm,tournament_size,pc,elitism,max_evals,trial_index,seed,best_fitness,best_d,generations,evals_used
BPP1,100,0.01,3,0.8,1,10000,0,10,0.22573363431151242,442.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,1,11,0.25252525252525254,395.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,2,12,0.205761316872428,485.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,3,13,0.26737967914438504,373.0,99,10000
BPP1,100,0.01,3,0.8,1,10000,4,14,0.17452006980802792,572.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,0,110,0.10857763300760044,920.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,1,111,0.12224938875305623,817.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,2,112,0.09416195856873823,1061.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,3,113,0.0931098696461825,1073.0,99,10000
BPP1,100,0.05,3,0.8,1,10000,4,114,0.10351966873706005,965.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,0,210,0.390625,255.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,1,211,0.546448087431694,182.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,2,212,0.5154639175257731,193.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,3,213,0.3333333333333333,299.0,99,10000
BPP1,100,0.01,7,0.8,1,10000,4,214,0.7092198581560284,140.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,0,310,0.10976948408342481,910.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,1,311,0.12658227848101267,789.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,2,312,0.12391573729863693,806.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,3,313,0.10893246187363835,917.0,99,10000
BPP1,100,0.05,7,0.8,1,10000,4,314,0.11848341232227488,843.0,99,10000
BPP2,100,0.01,3,0.8,1,10000,0,10010,0.0005432228870666779,184085.5,99,10000
BPP2,100,0.01,3,0.8,1,10000,1,10011,0.00045303807331968177,220731.0,99,10000
BPP2,100,0.01,3,0.8,1,10000,2,10012,0.000476342452115675,209932.0,99,10000
BPP2,100,0.01,3,0.8,1,10000,3,10013,0.0005214811106504694,191760.5,99,10000
BPP2,100,0.01,3,0.8,1,10000,4,10014,0.00047651268953292225,209857.0,99,10000
BPP2,100,0.05,3,0.8,1,10000,0,10110,0.00033829327659027443,295600.5,99,10000
BPP2,100,0.05,3,0.8,1,10000,1,10111,0.00027541380924839574,363089.0,99,10000
BPP2,100,0.05,3,0.8,1,10000,2,10112,0.0002829670796099582,353397.0,99,10000
BPP2,100,0.05,3,0.8,1,10000,3,10113,0.0002825700879781969,353893.5,99,10000
BPP2,100,0.05,3,0.8,1,10000,4,10114,0.000306044376434583,326749.0,99,10000
BPP2,100,0.01,7,0.8,1,10000,0,10210,0.0006737795325991382,148415.5,99,10000
BPP2,100,0.01,7,0.8,1,10000,1,10211,0.0008222162839935045,121621.5,99,10000
BPP2,100,0.01,7,0.8,1,10000,2,10212,0.0008652989175110542,115566.0,99,10000
BPP2,100,0.01,7,0.8,1,10000,3,10213,0.0008494083870584138,117728.0,99,10000
BPP2,100,0.01,7,0.8,1,10000,4,10214,0.0007042923094801267,141985.5,99,10000
BPP2,100,0.05,7,0.8,1,10000,0,10310,0.00033290444144460556,300385.5,99,10000
BPP2,100,0.05,7,0.8,1,10000,1,10311,0.00035430274106315623,282243.5,99,10000
BPP2,100,0.05,7,0.8,1,10000,2,10312,0.00034084673145026874,293386.0,99,10000
BPP2,100,0.05,7,0.8,1,10000,3,10313,0.00038598041921333333,259079.5,99,10000
BPP2,100,0.05,7,0.8,1,10000,4,10314,0.000327838755786354,305027.0,99,10000
